customer_id,first_name,last_name,email,phone_number,account_status,kyc_verified,account_created_at,primary_location_id
CUST-52ba586b,First0,Last0,user0@example.com,555-1501088,Active,true,2025-06-18 01:22:01,LOC-cba85eb9
CUST-cf930354,First1,Last1,user1@example.com,555-7863484,Active,true,2025-04-16 19:29:00,LOC-014d957f
CUST-d6eda7bc,First2,Last2,user2@example.com,555-4626962,Active,true,2025-06-07 17:06:56,LOC-bb25647a
CUST-3a9c476c,First3,Last3,user3@example.com,555-1402149,Active,true,2025-02-12 12:27:12,LOC-5ee15323
CUST-7f38d5fa,First4,Last4,user4@example.com,555-5326723,Active,true,2025-02-07 11:50:25,LOC-2db70dfb
CUST-dd7530f0,First5,Last5,user5@example.com,555-7821382,Active,true,2025-02-25 14:37:49,LOC-e967318f
CUST-dd74a89f,First6,Last6,user6@example.com,555-6622775,Active,true,2025-04-18 18:10:30,LOC-bdf31f93
CUST-2e357a39,First7,Last7,user7@example.com,555-1246428,Active,true,2025-01-10 20:07:55,LOC-c57153d6
CUST-5b884185,First8,Last8,user8@example.com,555-3492655,Active,false,2025-05-18 18:52:06,LOC-1de04e9c
CUST-32af9b2f,First9,Last9,user9@example.com,555-3531076,Active,true,2025-01-04 06:52:24,LOC-752d1987
CUST-a4a35be8,First10,Last10,user10@example.com,555-1637070,Active,true,2025-03-24 11:26:16,LOC-05ae6204
CUST-25072fb8,First11,Last11,user11@example.com,555-8626860,Active,true,2025-04-04 09:29:07,LOC-f065418c
CUST-d709adb6,First12,Last12,user12@example.com,555-7613226,Suspended,true,2025-04-26 09:02:33,LOC-6c618663
CUST-42949979,First13,Last13,user13@example.com,555-8676238,Active,true,2025-02-16 22:53:25,LOC-99ea43d1
CUST-297cb283,First14,Last14,user14@example.com,555-4588085,Suspended,true,2025-04-13 20:34:43,LOC-2bd5119a
CUST-1e7092b3,First15,Last15,user15@example.com,555-9045631,Active,false,2025-06-13 00:29:17,LOC-901fdc29
CUST-dae372fb,First16,Last16,user16@example.com,555-8769650,Active,true,2025-01-21 23:39:25,LOC-741381a1
CUST-ab72d9d1,First17,Last17,user17@example.com,555-5018276,Active,true,2025-05-13 03:19:45,LOC-739417cf
CUST-92cf5048,First18,Last18,user18@example.com,555-1794598,Active,false,2025-04-25 07:19:04,LOC-7f3fbb38
CUST-cd5c7d4e,First19,Last19,user19@example.com,555-4941315,Active,true,2025-01-09 09:58:17,LOC-8876cdff
CUST-c92ac936,First20,Last20,user20@example.com,555-7244329,Active,true,2025-05-30 00:46:05,LOC-10d6ddc3
CUST-e84acc87,First21,Last21,user21@example.com,555-6481077,Active,true,2025-06-30 09:41:53,LOC-dbdc6b1c
CUST-a7f1f1fa,First22,Last22,user22@example.com,555-2247603,Active,true,2025-02-03 22:11:29,LOC-88dfd0ae
CUST-822a64ea,First23,Last23,user23@example.com,555-8451882,Active,true,2025-04-12 13:53:36,LOC-71f0ab66
CUST-cef004c8,First24,Last24,user24@example.com,555-7114838,Active,true,2025-05-28 02:42:51,LOC-c26bba24
CUST-11e7995e,First25,Last25,user25@example.com,555-5589666,Active,true,2025-06-12 13:45:28,LOC-36a0330b
CUST-d10cd65b,First26,Last26,user26@example.com,555-9742363,Active,true,2025-01-10 12:30:24,LOC-748d120f
CUST-673715d5,First27,Last27,user27@example.com,555-9517626,Active,true,2025-02-24 23:31:02,LOC-dd642930
CUST-b6f6f2a9,First28,Last28,user28@example.com,555-2718181,Active,true,2025-01-29 06:49:25,LOC-387e4772
CUST-83f72b1d,First29,Last29,user29@example.com,555-2038572,Suspended,false,2025-02-01 09:28:34,LOC-4c3ac5c1
CUST-47b48454,First30,Last30,user30@example.com,555-6368247,Active,false,2025-07-07 07:41:08,LOC-c09f6e76
CUST-50c7d01e,First31,Last31,user31@example.com,555-4086801,Active,true,2025-01-05 16:09:55,LOC-2412bbb6
CUST-dd1fe00b,First32,Last32,user32@example.com,555-9727285,Closed,true,2025-05-19 14:32:12,LOC-68d218b1
CUST-b5a354bb,First33,Last33,user33@example.com,555-4893429,Active,true,2025-02-22 03:17:26,LOC-f84ee004
CUST-172a7294,First34,Last34,user34@example.com,555-6741880,Active,true,2025-07-09 00:43:02,LOC-a81739a3
CUST-2ac0f1c9,First35,Last35,user35@example.com,555-7101688,Active,false,2025-06-17 13:49:51,LOC-64653407
CUST-f45dd5bd,First36,Last36,user36@example.com,555-3425763,Active,true,2025-06-06 20:26:11,LOC-9b4f5e73
CUST-973d1482,First37,Last37,user37@example.com,555-1056586,Suspended,true,2025-06-16 23:09:10,LOC-0d930599
CUST-13c0b02c,First38,Last38,user38@example.com,555-1158141,Active,true,2025-02-21 18:00:48,LOC-da91c8a1
CUST-1c7c2dab,First39,Last39,user39@example.com,555-5818148,Active,false,2025-04-08 03:20:45,LOC-2d0eff6a
CUST-4a6f4d55,First40,Last40,user40@example.com,555-5861496,Active,true,2025-04-17 04:32:34,LOC-41caeaa4
CUST-e353af37,First41,Last41,user41@example.com,555-5866574,Active,true,2025-03-21 10:07:54,LOC-b4c7d3cc
CUST-a1586cf7,First42,Last42,user42@example.com,555-7711940,Suspended,true,2025-07-20 03:23:54,LOC-bd287a7e
CUST-db538d5d,First43,Last43,user43@example.com,555-1693851,Active,true,2025-03-18 15:50:00,LOC-d56f6016
CUST-89b0401a,First44,Last44,user44@example.com,555-1087433,Active,true,2025-02-20 03:22:12,LOC-f7d45eff
CUST-f6263ae1,First45,Last45,user45@example.com,555-2694206,Active,true,2025-05-13 18:31:08,LOC-1a278283
CUST-9118fbda,First46,Last46,user46@example.com,555-8333480,Active,true,2025-01-16 06:52:20,LOC-0ee38933
CUST-b727a016,First47,Last47,user47@example.com,555-3601271,Active,true,2025-07-01 10:37:09,LOC-b003f588
CUST-998996f5,First48,Last48,user48@example.com,555-5444813,Suspended,true,2025-04-19 09:55:57,LOC-1a2c8ff8
CUST-fc04010a,First49,Last49,user49@example.com,555-9821451,Active,true,2025-05-02 21:37:36,LOC-f6f328db
CUST-e924acba,First50,Last50,user50@example.com,555-9393663,Suspended,false,2025-05-30 21:36:13,LOC-05be9a5b
CUST-11d1a532,First51,Last51,user51@example.com,555-6882285,Active,true,2025-01-29 12:00:21,LOC-04900c33
CUST-f6535281,First52,Last52,user52@example.com,555-5737135,Suspended,true,2025-03-15 11:20:16,LOC-c00cf998
CUST-5b005a22,First53,Last53,user53@example.com,555-1181742,Active,true,2025-05-22 04:57:33,LOC-18a63b2a
CUST-82b5a2fd,First54,Last54,user54@example.com,555-2473595,Active,true,2025-03-05 08:56:19,LOC-1a2c8ff8
CUST-7066331b,First55,Last55,user55@example.com,555-6681639,Active,true,2025-04-19 00:45:25,LOC-220eb756
CUST-83e8d2a4,First56,Last56,user56@example.com,555-7898573,Active,true,2025-03-30 19:01:47,LOC-9dfb84de
CUST-7ca275d8,First57,Last57,user57@example.com,555-1610327,Active,true,2025-03-10 00:09:43,LOC-6170b603
CUST-9084687a,First58,Last58,user58@example.com,555-1926606,Active,true,2025-06-22 14:14:40,LOC-d45af869
CUST-7507552c,First59,Last59,user59@example.com,555-6650544,Active,true,2025-01-16 23:39:18,LOC-23317d11
CUST-dbdb2119,First60,Last60,user60@example.com,555-1185338,Active,true,2025-03-20 08:42:46,LOC-c06692c0
CUST-d8dfe7ad,First61,Last61,user61@example.com,555-4734077,Active,true,2025-03-31 15:09:58,LOC-09cd6708
CUST-2ef871bb,First62,Last62,user62@example.com,555-2180511,Active,true,2025-01-06 08:06:44,LOC-008a804d
CUST-448ea646,First63,Last63,user63@example.com,555-1012566,Active,true,2025-02-19 05:25:28,LOC-13894132
CUST-e2c900b7,First64,Last64,user64@example.com,555-9343744,Active,false,2025-05-28 02:28:13,LOC-75600a45
CUST-3e7bdeff,First65,Last65,user65@example.com,555-1342642,Suspended,true,2025-06-01 22:24:35,LOC-c448ac58
CUST-ac74eff9,First66,Last66,user66@example.com,555-1024746,Suspended,true,2025-05-24 09:28:10,LOC-c14d8ec0
CUST-708a36a0,First67,Last67,user67@example.com,555-7946868,Active,true,2025-03-30 01:13:17,LOC-b214056a
CUST-95b41787,First68,Last68,user68@example.com,555-2455477,Active,false,2025-01-10 01:37:34,LOC-e2912708
CUST-c5ee7ded,First69,Last69,user69@example.com,555-5255649,Active,true,2025-06-18 09:31:37,LOC-4b8d1c37
CUST-b559449c,First70,Last70,user70@example.com,555-7010569,Active,true,2025-06-27 22:02:43,LOC-81e12fd5
CUST-e2855786,First71,Last71,user71@example.com,555-7529913,Active,true,2025-06-10 09:27:02,LOC-d870c2ff
CUST-9a0228f0,First72,Last72,user72@example.com,555-9048331,Active,true,2025-03-09 22:55:57,LOC-9c412782
CUST-b8eb3206,First73,Last73,user73@example.com,555-9712276,Active,true,2025-07-08 15:07:47,LOC-d3298b69
CUST-8444acc8,First74,Last74,user74@example.com,555-3845301,Active,true,2025-01-27 06:02:19,LOC-f002c469
CUST-d6815471,First75,Last75,user75@example.com,555-9577931,Active,true,2025-04-02 23:25:15,LOC-25b53290
CUST-aaf57f91,First76,Last76,user76@example.com,555-5519512,Active,true,2025-06-17 18:15:53,LOC-f065418c
CUST-3cf652cc,First77,Last77,user77@example.com,555-9753257,Active,true,2025-05-10 10:36:58,LOC-6f48c5ce
CUST-9401e9c8,First78,Last78,user78@example.com,555-6404320,Active,false,2025-06-01 21:20:26,LOC-907d2f9f
CUST-37ede13e,First79,Last79,user79@example.com,555-9510157,Suspended,false,2025-05-10 17:11:03,LOC-d9d4b171
CUST-8de834f6,First80,Last80,user80@example.com,555-5200914,Suspended,true,2025-03-07 23:38:44,LOC-05a624a6
CUST-ae7ad865,First81,Last81,user81@example.com,555-7870063,Suspended,true,2025-05-31 00:17:08,LOC-7f120669
CUST-c89f1c44,First82,Last82,user82@example.com,555-6616122,Active,true,2025-01-18 19:50:42,LOC-e42d8d44
CUST-c495935f,First83,Last83,user83@example.com,555-5555197,Active,false,2025-01-19 15:08:28,LOC-d518b793
CUST-f66aadb7,First84,Last84,user84@example.com,555-5273973,Active,true,2025-03-18 19:17:59,LOC-fe9791ff
CUST-a90a45d0,First85,Last85,user85@example.com,555-9846715,Active,true,2025-02-26 22:34:54,LOC-63a5f8e9
CUST-27a6585b,First86,Last86,user86@example.com,555-6434113,Suspended,true,2025-02-04 11:30:58,LOC-e505c3de
CUST-038dc358,First87,Last87,user87@example.com,555-6911999,Active,true,2025-02-25 02:58:15,LOC-ddb64ba8
CUST-2b5b1320,First88,Last88,user88@example.com,555-1251043,Active,true,2025-06-15 05:59:13,LOC-0f0e8c9d
CUST-b78dbd11,First89,Last89,user89@example.com,555-4003926,Active,true,2025-02-21 22:15:17,LOC-8433d7ce
CUST-efece2d8,First90,Last90,user90@example.com,555-1172158,Active,true,2025-04-16 05:56:34,LOC-92c8be22
CUST-7ffc50eb,First91,Last91,user91@example.com,555-1317133,Active,true,2025-02-17 11:24:25,LOC-b4e5cb81
CUST-8c55c8a7,First92,Last92,user92@example.com,555-3664361,Active,true,2025-07-10 06:45:42,LOC-736f28f6
CUST-f80f78a8,First93,Last93,user93@example.com,555-4400338,Suspended,true,2025-05-01 02:24:37,LOC-6a846b94
CUST-057f96d3,First94,Last94,user94@example.com,555-6862750,Active,false,2025-01-19 05:00:15,LOC-1de04e9c
CUST-e750e262,First95,Last95,user95@example.com,555-6402784,Active,true,2025-01-21 22:50:47,LOC-42f077ce
CUST-8dc3e3d3,First96,Last96,user96@example.com,555-8281502,Active,true,2025-01-14 01:39:43,LOC-833870a8
CUST-a137a794,First97,Last97,user97@example.com,555-7068063,Active,false,2025-05-06 23:48:28,LOC-b32f3530
CUST-3b6762a7,First98,Last98,user98@example.com,555-6258865,Active,true,2025-07-12 02:50:27,LOC-90df452c
CUST-08b942e2,First99,Last99,user99@example.com,555-1994889,Active,true,2025-05-21 13:22:54,LOC-98fb1e67
CUST-86b9b44e,First100,Last100,user100@example.com,555-6911042,Active,true,2025-01-10 02:20:54,LOC-1c1964e7
CUST-b53aeb75,First101,Last101,user101@example.com,555-9348805,Active,true,2025-01-03 09:19:30,LOC-6f48c5ce
